ITEMS,FECHAEMP,LOTE,CODIGO,CAJA,ESPECIE,PRODUCTO,CALIDAD,FECHA ELAB,FECHAVENCI,CAJA2,TALLA,UDS,LIBRAS,PROMEDIO,QUEES,EMPAQUE,CUARTO,POSICION,TARIMA,
505,23/12/2025,300/24,010802060101,2215,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,2215,SIN TALLA,21,"32,4","1,5",INVFISICO,CAJA LBS LIBRE,3,,18,
506,23/12/2025,63/25,010803060101,4064,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,13/12/2025,13/12/2026,4064,SIN TALLA,7,"43,0","6,1",INVFISICO,CAJA LBS LIBRE,3,,18,
507,23/12/2025,63/25,010803060101,4067,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,13/12/2025,13/12/2026,4067,SIN TALLA,7,"41,6","5,9",INVFISICO,CAJA LBS LIBRE,3,,18,
508,23/12/2025,63/25,010803060101,4063,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,13/12/2025,13/12/2026,4063,SIN TALLA,7,"41,6","5,9",INVFISICO,CAJA LBS LIBRE,3,,18,
509,23/12/2025,63/25,010803060101,4061,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,13/12/2025,13/12/2026,4061,SIN TALLA,7,"37,6","5,4",INVFISICO,CAJA LBS LIBRE,3,,18,
510,23/12/2025,63/25,010803060101,4065,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,13/12/2025,13/12/2026,4065,SIN TALLA,7,"38,4","5,5",INVFISICO,CAJA LBS LIBRE,3,,18,
511,23/12/2025,63/25,010803060101,4066,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,13/12/2025,13/12/2026,4066,SIN TALLA,7,"38,0","5,4",INVFISICO,CAJA LBS LIBRE,3,,18,
512,23/12/2025,63/25,010803060101,4060,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,13/12/2025,13/12/2026,4060,SIN TALLA,7,"37,4","5,3",INVFISICO,CAJA LBS LIBRE,3,,18,
513,23/12/2025,63/25,010803060101,4059,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,13/12/2025,13/12/2026,4059,SIN TALLA,7,"38,8","5,5",INVFISICO,CAJA LBS LIBRE,3,,18,
514,23/12/2025,63/25,010803060101,4062,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,13/12/2025,13/12/2026,4062,SIN TALLA,7,"41,2","5,9",INVFISICO,CAJA LBS LIBRE,3,,18,
515,23/12/2025,64/25,010803060101,4300,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,4300,SIN TALLA,7,"36,4","5,2",INVFISICO,CAJA LBS LIBRE,3,,18,
516,23/12/2025,64/25,010803060101,4299,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,4299,SIN TALLA,6,"29,8","5,0",INVFISICO,CAJA LBS LIBRE,3,,18,
517,23/12/2025,64/25,010803060101,4297,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,4297,SIN TALLA,6,"31,2","5,2",INVFISICO,CAJA LBS LIBRE,3,,18,
518,23/12/2025,64/25,010803060101,4301,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,4301,SIN TALLA,7,"37,6","5,4",INVFISICO,CAJA LBS LIBRE,3,,18,
519,23/12/2025,64/25,010803060101,4296,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,4296,SIN TALLA,6,"30,6","5,1",INVFISICO,CAJA LBS LIBRE,3,,18,
520,23/12/2025,64/25,010803060101,4295,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,4295,SIN TALLA,6,"29,0","4,8",INVFISICO,CAJA LBS LIBRE,3,,18,
521,23/12/2025,64/25,010803060101,4298,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,4298,SIN TALLA,6,"32,2","5,4",INVFISICO,CAJA LBS LIBRE,3,,18,
522,23/12/2025,64/25,010803060101,4293,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,4293,SIN TALLA,6,"29,4","4,9",INVFISICO,CAJA LBS LIBRE,3,,18,
523,23/12/2025,64/25,010803060101,4291,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,4291,SIN TALLA,6,"31,0","5,2",INVFISICO,CAJA LBS LIBRE,3,,18,
524,23/12/2025,64/25,010803060101,4290,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,4290,SIN TALLA,6,"31,4","5,2",INVFISICO,CAJA LBS LIBRE,3,,18,
525,23/12/2025,64/25,010803060101,4294,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,4294,SIN TALLA,6,"29,4","4,9",INVFISICO,CAJA LBS LIBRE,3,,18,
526,23/12/2025,64/25,010803060101,4289,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,4289,SIN TALLA,6,"31,6","5,3",INVFISICO,CAJA LBS LIBRE,3,,18,
527,23/12/2025,64/25,010803060101,4292,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,4292,SIN TALLA,6,"31,0","5,2",INVFISICO,CAJA LBS LIBRE,3,,18,
528,23/12/2025,64/25,010803060101,4288,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,4288,SIN TALLA,6,"33,0","5,5",INVFISICO,CAJA LBS LIBRE,3,,18,
529,23/12/2025,64/25,010803060101,4287,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,4287,SIN TALLA,6,"33,4","5,6",INVFISICO,CAJA LBS LIBRE,3,,18,
530,23/12/2025,64/25,010803060101,4302,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,4302,SIN TALLA,7,"36,4","5,2",INVFISICO,CAJA LBS LIBRE,3,,18,
531,23/12/2025,19/25,010803060101,2750,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,2750,SIN TALLA,6,"30,6","5,1",INVFISICO,CAJA LBS LIBRE,3,,18,
532,23/12/2025,19/25,010803060101,2746,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,2746,SIN TALLA,6,"33,4","5,6",INVFISICO,CAJA LBS LIBRE,3,,18,
533,23/12/2025,19/25,010803060101,2742,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,2742,SIN TALLA,6,"32,4","5,4",INVFISICO,CAJA LBS LIBRE,3,,18,
534,23/12/2025,19/25,010803060101,2752,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,2752,SIN TALLA,7,"37,7","5,4",INVFISICO,CAJA LBS LIBRE,3,,18,
535,23/12/2025,19/25,010803060101,2745,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,2745,SIN TALLA,6,"34,8","5,8",INVFISICO,CAJA LBS LIBRE,3,,18,
536,23/12/2025,19/25,010803060101,2751,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,17/12/2025,17/12/2026,2751,SIN TALLA,6,"33,2","5,5",INVFISICO,CAJA LBS LIBRE,3,,18,
537,23/12/2025,43/25,010803060101,3340,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,2/10/2025,2/10/2026,3340,SIN TALLA,8,"40,6","5,1",INVFISICO,CAJA LBS LIBRE,3,,18,
538,23/12/2025,43/25,010803060101,3336,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,2/10/2025,2/10/2026,3336,SIN TALLA,8,"46,8","5,9",INVFISICO,CAJA LBS LIBRE,3,,18,
539,23/12/2025,"35,36/25",010803060101,2987,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,15/9/2025,15/9/2026,2987,SIN TALLA,8,"33,0","4,1",INVFISICO,CAJA LBS LIBRE,3,,19,
540,23/12/2025,"35,36/25",010803060101,2984,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,15/9/2025,15/9/2026,2984,SIN TALLA,8,"32,4","4,1",INVFISICO,CAJA LBS LIBRE,3,,19,
541,23/12/2025,"35,36/25",010803060101,2986,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,15/9/2025,15/9/2026,2986,SIN TALLA,8,"36,0","4,5",INVFISICO,CAJA LBS LIBRE,3,,19,
542,23/12/2025,"35,36/25",010803060101,2988,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,15/9/2025,15/9/2026,2988,SIN TALLA,8,"35,6","4,5",INVFISICO,CAJA LBS LIBRE,3,,19,
543,23/12/2025,"35,36/25",010803060101,2983,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,15/9/2025,15/9/2026,2983,SIN TALLA,8,"34,8","4,4",INVFISICO,CAJA LBS LIBRE,3,,19,
544,23/12/2025,"35,36/25",010803060101,2985,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,15/9/2025,15/9/2026,2985,SIN TALLA,8,"32,8","4,1",INVFISICO,CAJA LBS LIBRE,3,,19,
545,23/12/2025,45/25,010803060101,3451,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,6/10/2025,6/10/2026,3451,SIN TALLA,8,"37,2","4,7",INVFISICO,CAJA LBS LIBRE,3,,19,
546,23/12/2025,"35,36/25",010803060101,2995,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,15/9/2025,15/9/2026,2995,SIN TALLA,8,"35,2","4,4",INVFISICO,CAJA LBS LIBRE,3,,19,
547,23/12/2025,"29,30/25",010803060101,2842,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,11/8/2025,11/8/2026,2842,SIN TALLA,8,"41,4","5,2",INVFISICO,CAJA LBS LIBRE,3,,19,
548,23/12/2025,43/25,010803060101,3338,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,2/10/2025,2/10/2026,3338,SIN TALLA,8,"43,0","5,4",INVFISICO,CAJA LBS LIBRE,3,,19,
549,23/12/2025,43/25,010803060101,3337,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,2/10/2025,2/10/2026,3337,SIN TALLA,8,"40,2","5,0",INVFISICO,CAJA LBS LIBRE,3,,19,
550,23/12/2025,"29,30/25",010803060101,2843,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,11/8/2025,11/8/2026,2843,SIN TALLA,10,"41,0","4,1",INVFISICO,CAJA LBS LIBRE,3,,19,
551,23/12/2025,29/25,010803060101,2844,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,11/8/2025,11/8/2026,2844,SIN TALLA,10,"41,8","4,2",INVFISICO,CAJA LBS LIBRE,3,,19,
552,23/12/2025,37/25,010803060101,3190,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,18/9/2025,18/9/2026,3190,SIN TALLA,8,"32,6","4,1",INVFISICO,CAJA LBS LIBRE,3,,19,
553,23/12/2025,37/25,010803060101,3191,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,18/9/2025,18/9/2026,3191,SIN TALLA,8,"34,2","4,3",INVFISICO,CAJA LBS LIBRE,3,,19,
554,23/12/2025,37/25,010803060101,3193,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,18/9/2025,18/9/2026,3193,SIN TALLA,8,"32,2","4,0",INVFISICO,CAJA LBS LIBRE,3,,19,
555,23/12/2025,45/25,010803060101,3452,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,15/9/2025,15/9/2026,3452,SIN TALLA,8,"34,6","4,3",INVFISICO,CAJA LBS LIBRE,3,,19,
556,23/12/2025,43/25,010803060101,3347,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,2/10/2025,2/10/2026,3347,SIN TALLA,8,"35,8","4,5",INVFISICO,CAJA LBS LIBRE,3,,19,
557,23/12/2025,45/25,010803060101,3349,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,15/9/2025,15/9/2026,3349,SIN TALLA,8,"38,8","4,9",INVFISICO,CAJA LBS LIBRE,3,,19,
558,23/12/2025,43/25,010803060101,3334,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,2/10/2025,2/10/2026,3334,SIN TALLA,8,"34,0","4,3",INVFISICO,CAJA LBS LIBRE,3,,19,
559,23/12/2025,19/25,010803060101,2749,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,7/7/2025,7/7/2025,2749,SIN TALLA,8,"28,8","3,6",INVFISICO,CAJA LBS LIBRE,3,,19,
560,23/12/2025,45/25,010803060101,3453,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,15/9/2025,15/9/2026,3453,SIN TALLA,7,"32,8","4,7",INVFISICO,CAJA LBS LIBRE,3,,19,
561,23/12/2025,43/25,010803060101,3335,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,2/10/2025,2/10/2026,3335,SIN TALLA,8,"39,2","4,9",INVFISICO,CAJA LBS LIBRE,3,,19,
562,23/12/2025,37/25,010803060101,3192,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,18/9/2025,18/9/2026,3192,SIN TALLA,8,"34,8","4,4",INVFISICO,CAJA LBS LIBRE,3,,19,
563,23/12/2025,19/25,010803060101,2747,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,7/7/2025,7/7/2025,2747,SIN TALLA,6,"28,6","4,8",INVFISICO,CAJA LBS LIBRE,3,,19,
564,23/12/2025,19/25,010803060101,2748,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,7/7/2025,7/7/2025,2748,SIN TALLA,6,"27,6","4,6",INVFISICO,CAJA LBS LIBRE,3,,19,
565,23/12/2025,19/25,010803060101,2743,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,7/7/2025,7/7/2025,2743,SIN TALLA,6,"30,8","5,1",INVFISICO,CAJA LBS LIBRE,3,,19,
566,23/12/2025,43/25,010803060101,3333,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,2/10/2025,2/10/2026,3333,SIN TALLA,8,"40,6","5,1",INVFISICO,CAJA LBS LIBRE,3,,19,
567,23/12/2025,19/25,010803060101,2741,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,7/7/2025,7/7/2025,2741,SIN TALLA,6,"34,0","5,7",INVFISICO,CAJA LBS LIBRE,3,,19,
568,23/12/2025,300/24,010602060701,1744,ATUN,TROCITOS NATURAL,B,4/12/2024,4/12/2025,1744,SIN TALLA,18,"38,4","2,1",INVFISICO,CAJA LBS LIBRE,3,,20,
569,23/12/2025,300/24,010802060101,1917,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1917,SIN TALLA,22,"31,2","1,4",INVFISICO,CAJA LBS LIBRE,3,,20,
570,23/12/2025,300/24,010802060101,2815,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,2815,SIN TALLA,18,"24,2","1,3",INVFISICO,CAJA LBS LIBRE,3,,20,
571,23/12/2025,300/24,010802060101,2814,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,2814,SIN TALLA,18,"35,6","2,0",INVFISICO,CAJA LBS LIBRE,3,,20,
572,23/12/2025,300/24,010802060101,1734,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1734,SIN TALLA,29,"31,4","1,1",INVFISICO,CAJA LBS LIBRE,3,,20,
573,23/12/2025,300/24,010802060101,1739,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1739,SIN TALLA,26,"35,6","1,4",INVFISICO,CAJA LBS LIBRE,3,,20,
574,23/12/2025,300/24,010802060101,1738,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1738,SIN TALLA,24,"31,8","1,3",INVFISICO,CAJA LBS LIBRE,3,,20,
575,23/12/2025,300/24,010802060101,1737,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1737,SIN TALLA,26,"35,0","1,3",INVFISICO,CAJA LBS LIBRE,3,,20,
576,23/12/2025,300/24,010802060101,1735,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1735,SIN TALLA,20,"30,2","1,5",INVFISICO,CAJA LBS LIBRE,3,,20,
577,23/12/2025,300/24,010802060101,1736,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1736,SIN TALLA,20,"31,6","1,6",INVFISICO,CAJA LBS LIBRE,3,,20,
578,23/12/2025,300/24,010802060101,1750,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1750,SIN TALLA,20,"30,8","1,5",INVFISICO,CAJA LBS LIBRE,3,,20,
579,23/12/2025,300/24,010602060701,1743,ATUN ,TROCITOS NATURAL,B,4/12/2024,4/12/2025,1743,SIN TALLA,17,"39,2","2,3",INVFISICO,CAJA LBS LIBRE,3,,20,
580,23/12/2025,300/24,010602060701,1745,ATUN ,TROCITOS NATURAL,B,4/12/2024,4/12/2025,1745,SIN TALLA,18,"40,0","2,2",INVFISICO,CAJA LBS LIBRE,3,,20,
581,23/12/2025,300/24,010802060101,1740,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1740,SIN TALLA,26,"36,4","1,4",INVFISICO,CAJA LBS LIBRE,3,,20,
582,23/12/2025,300/24,010602060701,1742,ATUN ,TROCITOS NATURAL,B,4/12/2024,4/12/2025,1742,SIN TALLA,19,"43,2","2,3",INVFISICO,CAJA LBS LIBRE,3,,20,
583,23/12/2025,300/24,010802060101,1748,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1748,SIN TALLA,25,"25,0","1,0",INVFISICO,CAJA LBS LIBRE,3,,20,
584,23/12/2025,300/24,010802060101,1751,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1751,SIN TALLA,17,"30,6","1,8",INVFISICO,CAJA LBS LIBRE,3,,20,
585,23/12/2025,300/24,010802060101,1755,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1755,SIN TALLA,18,"32,8","1,8",INVFISICO,CAJA LBS LIBRE,3,,20,
586,23/12/2025,300/24,010802060101,1741,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1741,SIN TALLA,24,"34,2","1,4",INVFISICO,CAJA LBS LIBRE,3,,20,
587,23/12/2025,300/24,010602060701,1746,ATUN ,TROCITOS NATURAL,B,4/12/2024,4/12/2025,1746,SIN TALLA,18,"40,4","2,2",INVFISICO,CAJA LBS LIBRE,3,,20,
588,23/12/2025,300/24,010802060101,1747,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1747,SIN TALLA,26,"25,4","1,0",INVFISICO,CAJA LBS LIBRE,3,,20,
589,23/12/2025,300/24,010802060101,1749,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1749,SIN TALLA,23,"25,8","1,1",INVFISICO,CAJA LBS LIBRE,3,,20,
590,23/12/2025,300/24,010802060101,1753,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1753,SIN TALLA,17,"32,2","1,9",INVFISICO,CAJA LBS LIBRE,3,,20,
591,23/12/2025,300/24,010802060101,1752,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1752,SIN TALLA,16,"29,6","1,9",INVFISICO,CAJA LBS LIBRE,3,,20,
592,23/12/2025,300/24,010802060101,1754,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1754,SIN TALLA,18,"29,8","1,7",INVFISICO,CAJA LBS LIBRE,3,,20,
593,23/12/2025,300/24,010802060101,1761,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1761,SIN TALLA,16,"30,0","1,9",INVFISICO,CAJA LBS LIBRE,3,,20,
594,23/12/2025,300/24,010802060101,1757,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1757,SIN TALLA,17,"31,0","1,8",INVFISICO,CAJA LBS LIBRE,3,,20,
595,23/12/2025,300/24,010802060101,1760,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1760,SIN TALLA,18,"25,8","1,4",INVFISICO,CAJA LBS LIBRE,3,,20,
596,23/12/2025,300/24,010802060101,1765,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1765,SIN TALLA,20,"34,8","1,7",INVFISICO,CAJA LBS LIBRE,3,,20,
597,23/12/2025,300/24,010802060101,1774,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1774,SIN TALLA,20,"26,2","1,3",INVFISICO,CAJA LBS LIBRE,3,,20,
598,23/12/2025,300/24,010802060101,1759,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1759,SIN TALLA,18,"24,8","1,4",INVFISICO,CAJA LBS LIBRE,3,,20,
599,23/12/2025,300/24,010802060101,1762,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1762,SIN TALLA,20,"27,6","1,4",INVFISICO,CAJA LBS LIBRE,3,,20,
600,23/12/2025,300/24,010802060101,1766,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1766,SIN TALLA,19,"32,4","1,7",INVFISICO,CAJA LBS LIBRE,3,,20,
601,23/12/2025,300/24,010802060101,1756,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1756,SIN TALLA,17,"33,4","2,0",INVFISICO,CAJA LBS LIBRE,3,,20,
602,23/12/2025,300/24,010802060101,1758,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1758,SIN TALLA,20,"28,4","1,4",INVFISICO,CAJA LBS LIBRE,3,,20,
603,23/12/2025,300/24,010802060101,1764,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1764,SIN TALLA,20,"27,6","1,4",INVFISICO,CAJA LBS LIBRE,3,,20,
604,23/12/2025,300/24,010802060101,1763,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1763,SIN TALLA,20,"29,2","1,5",INVFISICO,CAJA LBS LIBRE,3,,20,
605,23/12/2025,300/24,010802060101,1768,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1768,SIN TALLA,23,"34,2","1,5",INVFISICO,CAJA LBS LIBRE,3,,20,
606,23/12/2025,300/24,010802060101,1769,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1769,SIN TALLA,24,"28,8","1,2",INVFISICO,CAJA LBS LIBRE,3,,20,
607,23/12/2025,300/24,010802060101,1767,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1767,SIN TALLA,24,"28,6","1,2",INVFISICO,CAJA LBS LIBRE,3,,20,
608,23/12/2025,300/24,010802060101,1772,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1772,SIN TALLA,20,"29,0","1,5",INVFISICO,CAJA LBS LIBRE,3,,20,
609,23/12/2025,300/24,010802060101,1770,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1770,SIN TALLA,22,"27,4","1,2",INVFISICO,CAJA LBS LIBRE,3,,20,
610,23/12/2025,300/24,010802060101,1771,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1771,SIN TALLA,22,"28,6","1,3",INVFISICO,CAJA LBS LIBRE,3,,20,
611,23/12/2025,300/24,010802060101,1773,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1773,SIN TALLA,22,"31,8","1,4",INVFISICO,CAJA LBS LIBRE,3,,20,
612,23/12/2025,300/24,010802060101,1780,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1780,SIN TALLA,16,"27,8","1,7",INVFISICO,CAJA LBS LIBRE,3,,20,
613,23/12/2025,300/24,010802060101,1775,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1775,SIN TALLA,21,"29,2","1,4",INVFISICO,CAJA LBS LIBRE,3,,20,
614,23/12/2025,300/24,010802060101,1920,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1920,SIN TALLA,24,"34,6","1,4",INVFISICO,CAJA LBS LIBRE,3,,20,
615,23/12/2025,300/24,010802060101,1776,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1776,SIN TALLA,20,"29,8","1,5",INVFISICO,CAJA LBS LIBRE,3,,20,
616,23/12/2025,300/24,010802060101,1781,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1781,SIN TALLA,18,"31,6","1,8",INVFISICO,CAJA LBS LIBRE,3,,20,
617,23/12/2025,300/24,010802060101,1782,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1782,SIN TALLA,32,"29,6","0,9",INVFISICO,CAJA LBS LIBRE,3,,20,
618,23/12/2025,300/24,010802060101,1777,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1777,SIN TALLA,21,"30,2","1,4",INVFISICO,CAJA LBS LIBRE,3,,20,
619,23/12/2025,300/24,010802060101,1779,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1779,SIN TALLA,21,"30,0","1,4",INVFISICO,CAJA LBS LIBRE,3,,20,
620,23/12/2025,300/24,010802060101,1778,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1778,SIN TALLA,22,"29,6","1,3",INVFISICO,CAJA LBS LIBRE,3,,20,
621,23/12/2025,300/24,010802060101,1784,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1784,SIN TALLA,18,"28,8","1,6",INVFISICO,CAJA LBS LIBRE,3,,20,
622,23/12/2025,300/24,010802060101,1787,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1787,SIN TALLA,20,"31,8","1,6",INVFISICO,CAJA LBS LIBRE,3,,20,
623,23/12/2025,300/24,010802060101,1785,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1785,SIN TALLA,32,"31,0","1,0",INVFISICO,CAJA LBS LIBRE,3,,20,
624,23/12/2025,300/24,010802060101,1786,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1786,SIN TALLA,28,"32,8","1,2",INVFISICO,CAJA LBS LIBRE,3,,20,
625,23/12/2025,300/24,010802060101,1783,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1783,SIN TALLA,22,"32,2","1,5",INVFISICO,CAJA LBS LIBRE,3,,20,
626,23/12/2025,300/24,010802060101,2004,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,2004,SIN TALLA,24,"43,2","1,8",INVFISICO,CAJA LBS LIBRE,3,,21,
627,23/12/2025,300/24,010802060101,2489,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,2489,SIN TALLA,25,"37,6","1,5",INVFISICO,CAJA LBS LIBRE,3,,21,
628,23/12/2025,300/24,010802060101,1999,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,1999,SIN TALLA,24,"39,0","1,6",INVFISICO,CAJA LBS LIBRE,3,,21,
