ITEMS,FECHAEMP,LOTE,CODIGO,CAJA,ESPECIE,PRODUCTO,CALIDAD,FECHA ELAB,FECHAVENCI,CAJA2,TALLA,UDS,LIBRAS,PROMEDIO,QUEES,EMPAQUE,CUARTO,POSICION,TARIMA,
407,23/12/2025,37/25,010402060401,3108,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3108,58,6,"40,2","6,7",INVFISICO,CAJA LBS LIBRE,3,,14,
408,23/12/2025,37/25,010402060401,3109,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3109,58,6,"39,8","6,6",INVFISICO,CAJA LBS LIBRE,3,,14,
409,23/12/2025,37/25,010402060401,3110,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3110,58,6,"44,6","7,4",INVFISICO,CAJA LBS LIBRE,3,,14,
410,23/12/2025,37/25,010402060401,3112,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3112,58,7,"46,0","6,6",INVFISICO,CAJA LBS LIBRE,3,,14,
411,23/12/2025,37/25,010402060401,3113,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3113,58,7,"46,0","6,6",INVFISICO,CAJA LBS LIBRE,3,,14,
412,23/12/2025,37/25,010402060401,3095,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3095,58,7,"46,6","6,7",INVFISICO,CAJA LBS LIBRE,3,,14,
413,23/12/2025,37/25,010402060401,3096,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3096,58,7,"38,6","5,5",INVFISICO,CAJA LBS LIBRE,3,,14,
414,23/12/2025,37/25,010402060401,3097,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3097,58,7,"41,8","6,0",INVFISICO,CAJA LBS LIBRE,3,,14,
415,23/12/2025,37/25,010402060601,3104,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3104,8 UP,5,"42,0","8,4",INVFISICO,CAJA LBS LIBRE,3,,14,
416,23/12/2025,37/25,010402060401,3089,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3089,58,7,"43,2","6,2",INVFISICO,CAJA LBS LIBRE,3,,14,
417,23/12/2025,37/25,010402060401,3092,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3092,58,7,"46,6","6,7",INVFISICO,CAJA LBS LIBRE,3,,14,
418,23/12/2025,37/25,010402060401,3090,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3090,58,7,"44,2","6,3",INVFISICO,CAJA LBS LIBRE,3,,14,
419,23/12/2025,37/25,010402060401,3100,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3100,58,7,"42,4","6,1",INVFISICO,CAJA LBS LIBRE,3,,14,
420,23/12/2025,37/25,010402060401,3098,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3098,58,7,"41,4","5,9",INVFISICO,CAJA LBS LIBRE,3,,14,
421,23/12/2025,37/25,010402060401,3093,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3093,58,7,"42,6","6,1",INVFISICO,CAJA LBS LIBRE,3,,14,
